address,instruction,opcode,x,y,n,kk,nnn,description
0x0342,0x8C10,0x8000,0x000C,0x0001,0x0000,0x0010,0x0C10,SET_V[0x000C]_EQUALSTO_V[0x0001]
0x0344,0x3C1E,0x3000,0x000C,0x0001,0x000E,0x001E,0x0C1E,SKIP_NEXT_INSTRUCTION_IF_V[0x000C]_EQUALS_0x001E
0x0346,0x7C01,0x7000,0x000C,0x0000,0x0001,0x0001,0x0C01,SET_V[0x000C]_EQUALSTO_V[0x000C]+0x0001
0x0348,0x3C1E,0x3000,0x000C,0x0001,0x000E,0x001E,0x0C1E,SKIP_NEXT_INSTRUCTION_IF_V[0x000C]_EQUALS_0x001E
0x034A,0x7C01,0x7000,0x000C,0x0000,0x0001,0x0001,0x0C01,SET_V[0x000C]_EQUALSTO_V[0x000C]+0x0001
0x034C,0x3C1E,0x3000,0x000C,0x0001,0x000E,0x001E,0x0C1E,SKIP_NEXT_INSTRUCTION_IF_V[0x000C]_EQUALS_0x001E
0x034E,0x7C01,0x7000,0x000C,0x0000,0x0001,0x0001,0x0C01,SET_V[0x000C]_EQUALSTO_V[0x000C]+0x0001
0x0350,0x235E,0x2000,0x0003,0x0005,0x000E,0x005E,0x035E,SUBROUTINE_CALL_0x035E
0x0352,0x4B0A,0x4000,0x000B,0x0000,0x000A,0x000A,0x0B0A,SKIP_NEXT_INSTRUCTION_IF_V[0x000B]_NOT_EQUALS_0x000A
0x0354,0x2372,0x2000,0x0003,0x0007,0x0002,0x0072,0x0372,SUBROUTINE_CALL_0x0372
0x0356,0x91C0,0x9000,0x0001,0x000C,0x0000,0x00C0,0x01C0,SKIP_NEXT_INSTRUCTION_IF_V[0x0001]_NOT_EQUALS_V[0x000C]
0x0358,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x035A,0x7101,0x7000,0x0001,0x0000,0x0001,0x0001,0x0101,SET_V[0x0001]_EQUALSTO_V[0x0001]+0x0001
0x035C,0x1350,0x1000,0x0003,0x0005,0x0000,0x0050,0x0350,JUMP_0x0350
0x035E,0x601B,0x6000,0x0000,0x0001,0x000B,0x001B,0x001B,SET_V[0x0000]_EQUALSTO_0x001B
0x0360,0x6B00,0x6000,0x000B,0x0000,0x0000,0x0000,0x0B00,SET_V[0x000B]_EQUALSTO_0x0000
0x0362,0xD011,0xD000,0x0000,0x0001,0x0001,0x0011,0x0011,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0001
0x0364,0x3F00,0x3000,0x000F,0x0000,0x0000,0x0000,0x0F00,SKIP_NEXT_INSTRUCTION_IF_V[0x000F]_EQUALS_0x0000
0x0366,0x7B01,0x7000,0x000B,0x0000,0x0001,0x0001,0x0B01,SET_V[0x000B]_EQUALSTO_V[0x000B]+0x0001
0x0368,0xD011,0xD000,0x0000,0x0001,0x0001,0x0011,0x0011,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0001
0x036A,0x7001,0x7000,0x0000,0x0000,0x0001,0x0001,0x0001,SET_V[0x0000]_EQUALSTO_V[0x0000]+0x0001
0x036C,0x3025,0x3000,0x0000,0x0002,0x0005,0x0025,0x0025,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_EQUALS_0x0025
0x036E,0x1362,0x1000,0x0003,0x0006,0x0002,0x0062,0x0362,JUMP_0x0362
0x0370,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x0372,0x601B,0x6000,0x0000,0x0001,0x000B,0x001B,0x001B,SET_V[0x0000]_EQUALSTO_0x001B
0x0374,0xD011,0xD000,0x0000,0x0001,0x0001,0x0011,0x0011,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0001
0x0376,0x7001,0x7000,0x0000,0x0000,0x0001,0x0001,0x0001,SET_V[0x0000]_EQUALSTO_V[0x0000]+0x0001
0x0378,0x3025,0x3000,0x0000,0x0002,0x0005,0x0025,0x0025,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_EQUALS_0x0025
0x037A,0x1374,0x1000,0x0003,0x0007,0x0004,0x0074,0x0374,JUMP_0x0374
0x037C,0x8E10,0x8000,0x000E,0x0001,0x0000,0x0010,0x0E10,SET_V[0x000E]_EQUALSTO_V[0x0001]
0x037E,0x8DE0,0x8000,0x000D,0x000E,0x0000,0x00E0,0x0DE0,SET_V[0x000D]_EQUALSTO_V[0x000E]
0x0380,0x7EFF,0x7000,0x000E,0x000F,0x000F,0x00FF,0x0EFF,SET_V[0x000E]_EQUALSTO_V[0x000E]+0x00FF
0x0382,0x601B,0x6000,0x0000,0x0001,0x000B,0x001B,0x001B,SET_V[0x0000]_EQUALSTO_0x001B
0x0384,0x6B00,0x6000,0x000B,0x0000,0x0000,0x0000,0x0B00,SET_V[0x000B]_EQUALSTO_0x0000
0x0386,0xD0E1,0xD000,0x0000,0x000E,0x0001,0x00E1,0x00E1,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x000E]_WIDTH_8_HEIGHT_0x0001
0x0388,0x3F00,0x3000,0x000F,0x0000,0x0000,0x0000,0x0F00,SKIP_NEXT_INSTRUCTION_IF_V[0x000F]_EQUALS_0x0000
0x038A,0x1390,0x1000,0x0003,0x0009,0x0000,0x0090,0x0390,JUMP_0x0390
0x038C,0xD0E1,0xD000,0x0000,0x000E,0x0001,0x00E1,0x00E1,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x000E]_WIDTH_8_HEIGHT_0x0001
0x038E,0x1394,0x1000,0x0003,0x0009,0x0004,0x0094,0x0394,JUMP_0x0394
0x0390,0xD0D1,0xD000,0x0000,0x000D,0x0001,0x00D1,0x00D1,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x000D]_WIDTH_8_HEIGHT_0x0001
